10901854,zone,id_obj1,id_obj2,label_obj1,label_obj2,object_pair_labels,pos_x_obj1,pos_y_obj1,pos_x_obj2,pos_y_obj2,vel_x_obj1,vel_y_obj1,vel_obj1,vel_x_obj2,vel_y_obj2,vel_obj2,yaw_obj1,yaw_obj2,size_x_obj1,size_y_obj1,size_x_obj2,size_y_obj2,rel_dist,rel_vel,min_safe_dist,ttc_min_dist,ttc,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,n_models,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_intersection_distance,decel_lv_time_to_intersection,decel_hv_time_to_intersection,decel_severity,decel_model,date,ts_minus_10,replay_link,label1,label2,interaction_type,hour,day_of_week,interaction_type_2,is_real_near_miss,LiDAR_artifact,description
6/1/2025 11:31,1001,10499922,10500247,4,2,2_4,29.359375,6.7382812,27.96875,6.3515625,-3.4199219,-2.640625,3.993595,-1.6201172,-2.5,2.866687,4.3632812,4.15625,2.0097656,1.4150391,1.6298828,0.6098633,1.443395,1.8052901,1.4161377,0.2772195,0.6392584,0.030239593,0.30078718,0.72,0.1262282,0.30078778,0.744637,0.72,0.31262463,3,3.993595,4.2365627,-0.24296784,0,0,0.3,3,0.5813154,1.97E-06,0.55003417,0.66719216,none,TRUE,6/1/2025,31:21.2,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T08:31:21Z,2,4,cyclist-car,11,Sunday,rear-end,No,No,"Bicycle likely detected as car and causing interaction between car and bicycle, which is normal interaction between two bicycles"
31:02.5,1005,10619465,10615732,4,1,1_4,-12.8671875,-14.9375,-11.296875,-16,1.3701172,0.41992188,0.39248216,-0.97998047,0.66015625,1.3376119,0.31469727,2.5488281,4.3398438,1.9902344,0.44995117,0.48999023,1.8959925,2.3623445,1.8175049,0.8973017,0.64414966,0.09739754,0.8978256,0.72,0.024137113,1.0781058,0.39587262,0.96,0.28628188,3,,,,,,,,,,,,,FALSE,6/1/2025,30:52.5,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T11:30:52Z,1,4,pedestrian-car,14,Sunday,stationary conflict,No,No,(Boarding case) Pedestrian boarding stopped car
37:55.4,1002,10673428,10673887,4,3,3_4,29.296875,14.1015625,28.1875,22.203125,-1.3300781,8.0703125,7.8289046,-0.33007812,-0.5498047,0.081226245,1.6396484,4.125,4.171875,1.9101562,1.3095703,0.70996094,8.177165,8.677927,2.0253906,0.1683997,0.88791937,0.014697592,0.22913304,0.96,0.6689527,0.22913359,0.33414933,0.96,0.5917803,3,,,,,,,,,,,,,FALSE,6/1/2025,37:45.4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T12:37:45Z,3,4,motorcycle-car,15,Sunday,stationary conflict,No,No,Turning car vs Stopped motorcycle at signal -  different lanes
37:55.8,1002,10673428,10674005,4,2,2_4,29.765625,18.09375,30.34375,28.21875,0.070007324,8.171875,8.420132,-0.64990234,-2.0800781,2.6463134,1.4238281,4.3046875,4.171875,1.9101562,1.9199219,0.6899414,10.141492,10.277199,2.1729736,0.13255374,0.973765,0.010816681,0.30483785,0.96,0.71443194,0.3048382,0.51102424,0.96,1.0718158,3,,,,,,,,,,,,,FALSE,6/1/2025,37:45.8,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T12:37:45Z,2,4,cyclist-car,15,Sunday,head-on,No,No,Turning car vs Stopping bicycle at signal -  different lanes
38:04.4,1002,10673886,10673887,4,3,3_4,29.046875,16.15625,28.203125,22.265625,-0.44995117,6.0507812,5.867936,0,0,0.004382293,1.4882812,4.1875,4.0585938,1.9199219,1.3095703,0.70996094,6.1673636,6.067488,1.9995117,0.38837242,1.0331926,0.030312996,0.5098549,0.96,0.29739493,0.5098546,0.3575083,0.96,0.44268927,3,,,,,,,,,,,,,FALSE,6/1/2025,37:54.4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T12:37:54Z,3,4,motorcycle-car,15,Sunday,stationary conflict,No,No,Turning car vs Stopped motorcycle at signal -  different lanes
38:10.0,1002,10674135,10673887,4,3,3_4,29.546875,15.5078125,28.234375,22.265625,-0.3701172,6.8398438,6.7728186,0,-0.010002136,0.020870259,1.5136719,4.140625,4.484375,1.9697266,1.3095703,0.70996094,6.8840895,6.8598375,2.1184082,0.94597405,1.0070832,0.07527778,0.9743293,0.96,0.017609708,0.97432953,0.28659934,0.96,0.40122956,3,,,,,,,,,,,,,FALSE,6/1/2025,38:00.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T12:37:59Z,3,4,motorcycle-car,15,Sunday,stationary conflict,No,No,Turning car vs Stopped motorcycle at signal -  different lanes
38:12.7,1002,10674170,10673887,4,3,3_4,28.90625,14.671875,28.21875,22.234375,-0.20996094,7.03125,7.2005453,-0.010002136,-0.010002136,0.013887291,1.4248047,4.1171875,4.1015625,1.8798828,1.3095703,0.70996094,7.5936856,7.0440907,2.0002441,0.47255132,1.1621318,0.033646613,0.94350654,0.96,0.039794516,0.9435065,0.31999037,0.96,0.4600084,3,,,,,,,,,,,,,FALSE,6/1/2025,38:02.7,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T12:38:02Z,3,4,motorcycle-car,15,Sunday,stationary conflict,No,No,Turning car vs Stopped motorcycle at signal -  different lanes
08:06.0,1003,10695243,10695032,4,1,1_4,12.2265625,12.8515625,13.21875,16.015625,-5.1992188,5.9296875,8.6037855,-0.85009766,-0.83984375,1.0244727,2.2929688,3.9570312,4.6953125,2.0703125,0.4399414,0.60009766,3.3159807,8.046205,1.951416,,,,,,,,,,,0,8.6037855,8.257309,0.34647655,3.4647655,3.4647655,0.2,2,0.5182087,0,2.374104,0.19734365,serious,TRUE,6/1/2025,07:56.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T13:07:56Z,1,4,pedestrian-car,16,Sunday,crossing,Yes,No,
19:37.8,1005,10705402,10705457,4,1,1_4,-3.5507812,-11.2265625,-2.390625,-6.5507812,3.9492188,1.2695312,4.4534183,0.02999878,-0.10998535,0.17604834,0.3659668,5.578125,4.2617188,1.9003906,0.3798828,0.41992188,4.8175607,4.154919,1.7404785,,,,,,,,,,,0,4.4534183,3.2236423,1.2297759,3.0744398,3.8014352,0.5,5,0.57219154,0,35.968178,0.5669875,serious,TRUE,6/1/2025,19:27.8,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T13:19:27Z,1,4,pedestrian-car,16,Sunday,crossing,No,No,Car speed is relatively slow for a serious risk
21:50.3,1002,10707338,10707398,4,1,1_4,29.109375,17.4375,29.78125,24.578125,-0.20996094,6.1914062,6.3327336,-0.049987793,-1.0400391,1.1071272,1.3505859,4.0351562,3.9609375,1.8701172,0.58984375,0.6801758,7.1721644,7.2332144,1.7752686,0.8296368,0.9831907,0.067217186,0.84896636,0.96,0.10924588,0.84896594,0.3547222,0.96,0.78544337,3,,,,,,,,,,,,,FALSE,6/1/2025,21:40.3,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T13:21:40Z,1,4,pedestrian-car,16,Sunday,head-on,No,No,No real risk
